Id,PointName,PointValue,PointQuality,PointTimestamp,IdPointAlias,InsertTimestamp
1,WJA:ANJATAN.FCA.Stream1.Diff_Pressure,0,Good,2025-01-21 18:02:35.823,190,2025-01-21 18:00:52.800
2,WJA:ANJATAN.FCA.Stream2.Diff_Pressure,167.408.347.129.822,Good,2025-01-21 18:02:35.820,191,2025-01-21 18:00:52.810
3,WJA:ANJATAN.FCA.Stream1.Flow_Rate_Energy,0,Good,2025-01-21 18:02:35.820,232,2025-01-21 18:00:52.803
4,WJA:ANJATAN.FCA.Stream2.Flow_Rate_Energy,121.465.393.066.406,Good,2025-01-21 18:02:35.820,233,2025-01-21 18:00:52.820
5,WJA:ANJATAN.FCA.Stream1.Flow_Rate_Net,0,Good,2025-01-21 18:02:35.820,295,2025-01-21 18:00:52.807
6,WJA:ANJATAN.FCA.Stream2.Flow_Rate_Net,92.110.546.875,Good,2025-01-21 18:02:35.823,296,2025-01-21 18:00:52.813
7,WJA:ANJATAN.FCA.Stream1.Pressure,-0.869611918926239,Good,2025-01-21 18:02:35.823,673,2025-01-21 18:00:52.800
8,WJA:ANJATAN.FCA.Stream2.Pressure,543.477.249.145.508,Good,2025-01-21 18:02:35.820,674,2025-01-21 18:00:52.820
9,WJA:ANJATAN.FCA.Stream1.Prev_Day_Average_Pressure,-0.694912016391754,Good,2025-01-21 09:46:59.797,841,2025-01-21 09:45:16.040
10,WJA:ANJATAN.FCA.Stream2.Prev_Day_Average_Pressure,547.999.458.312.988,Good,2025-01-21 09:46:59.790,842,2025-01-21 09:45:17.317
11,WJA:ANJATAN.FCA.Stream1.Prev_Day_Average_Temperature,803.353.729.248.047,Good,2025-01-21 09:46:59.793,862,2025-01-21 09:45:16.183
12,WJA:ANJATAN.FCA.Stream2.Prev_Day_Average_Temperature,834.222.640.991.211,Good,2025-01-21 09:46:59.790,863,2025-01-21 09:45:17.157
13,WJA:ANJATAN.FCA.Stream1.Prev_Day_Energy_Totalizer,0,Good,2025-01-21 09:46:59.793,946,2025-01-21 09:45:16.990
14,WJA:ANJATAN.FCA.Stream2.Prev_Day_Energy_Totalizer,11.465.685,Good,2025-01-21 09:46:59.793,947,2025-01-21 09:45:16.017
15,WJA:ANJATAN.FCA.Stream1.Prev_Day_Net_Totalizer,0,Good,2025-01-21 09:46:59.793,1219,2025-01-21 09:45:15.517
16,WJA:ANJATAN.FCA.Stream2.Prev_Day_Net_Totalizer,8.694.746,Good,2025-01-21 09:46:59.790,1220,2025-01-21 09:45:17.483
17,WJA:ANJATAN.FCA.Stream1.Prev_Hourly_Energy_Totalizer,0,Good,2025-01-21 17:46:59.687,1303,2025-01-21 17:45:16.200
18,WJA:ANJATAN.FCA.Stream2.Prev_Hourly_Energy_Totalizer,522.157.859.802.246,Good,2025-01-21 17:46:59.683,1304,2025-01-21 17:45:15.600
19,WJA:ANJATAN.FCA.Stream1.Prev_Hourly_Net_Totalizer,0,Good,2025-01-21 17:46:59.687,1408,2025-01-21 17:45:15.577
20,WJA:ANJATAN.FCA.Stream2.Prev_Hourly_Net_Totalizer,395.966.644.287.109,Good,2025-01-21 17:46:59.683,1409,2025-01-21 17:45:15.533
21,WJA:ANJATAN.FCA.Stream1.Temperature,785.113.754.272.461,Good,2025-01-21 18:02:35.817,1639,2025-01-21 18:00:52.807
22,WJA:ANJATAN.FCA.Stream2.Temperature,793.878.479.003.906,Good,2025-01-21 18:02:35.820,1640,2025-01-21 18:00:52.813
23,WJA:CITARIK.FCA.Stream1.Diff_Pressure,0,Good,2025-01-21 18:02:35.827,1975,2025-01-21 18:00:52.817
24,WJA:CITARIK.FCA.Stream2.Diff_Pressure,320.873.680.114.746,Good,2025-01-21 18:02:35.823,1976,2025-01-21 18:00:52.843
25,WJA:CITARIK.FCA.Stream1.Flow_Rate_Energy,0,Good,2025-01-21 18:02:35.823,2017,2025-01-21 18:00:52.823
26,WJA:CITARIK.FCA.Stream2.Flow_Rate_Energy,6.205.771.875,Good,2025-01-21 18:02:35.823,2018,2025-01-21 18:00:52.840
27,WJA:CITARIK.FCA.Stream1.Flow_Rate_Net,0,Good,2025-01-21 18:02:35.823,2080,2025-01-21 18:00:52.810
28,WJA:CITARIK.FCA.Stream2.Flow_Rate_Net,638.586.171.875,Good,2025-01-21 18:02:35.823,2081,2025-01-21 18:00:52.840
29,WJA:CITARIK.FCA.Stream1.Pressure,319.290.832.519.531,Good,2025-01-21 18:02:35.827,2458,2025-01-21 18:00:52.827
30,WJA:CITARIK.FCA.Stream2.Pressure,330.359.313.964.844,Good,2025-01-21 18:02:35.830,2459,2025-01-21 18:00:52.833
31,WJA:CITARIK.FCA.Stream1.Prev_Day_Average_Pressure,286.734.313.964.844,Good,2025-01-21 09:46:59.800,2626,2025-01-21 09:45:15.390
32,WJA:CITARIK.FCA.Stream2.Prev_Day_Average_Pressure,339.923.492.431.641,Good,2025-01-21 09:46:59.800,2627,2025-01-21 09:45:16.663
33,WJA:CITARIK.FCA.Stream1.Prev_Day_Average_Temperature,804.854.202.270.508,Good,2025-01-21 09:46:59.797,2647,2025-01-21 09:45:16.493
34,WJA:CITARIK.FCA.Stream2.Prev_Day_Average_Temperature,841.231.231.689.453,Good,2025-01-21 09:46:59.803,2648,2025-01-21 09:45:16.290
35,WJA:CITARIK.FCA.Stream1.Prev_Day_Energy_Totalizer,0,Good,2025-01-21 09:46:59.797,2731,2025-01-21 09:45:16.187
36,WJA:CITARIK.FCA.Stream2.Prev_Day_Energy_Totalizer,624.050.788,Good,2025-01-21 09:46:59.800,2732,2025-01-21 09:45:17.437
37,WJA:CITARIK.FCA.Stream1.Prev_Day_Net_Totalizer,0,Good,2025-01-21 09:46:59.797,3004,2025-01-21 09:45:17.227
38,WJA:CITARIK.FCA.Stream2.Prev_Day_Net_Totalizer,64.105.061,Good,2025-01-21 09:46:59.803,3005,2025-01-21 09:45:15.970
39,WJA:CITARIK.FCA.Stream1.Prev_Hourly_Energy_Totalizer,0,Good,2025-01-21 17:46:59.690,3088,2025-01-21 17:45:16.567
40,WJA:CITARIK.FCA.Stream2.Prev_Hourly_Energy_Totalizer,263.798.583.984.375,Good,2025-01-21 17:46:59.693,3089,2025-01-21 17:45:15.430
41,WJA:CITARIK.FCA.Stream1.Prev_Hourly_Net_Totalizer,0,Good,2025-01-21 17:46:59.687,3193,2025-01-21 17:45:16.327
42,WJA:CITARIK.FCA.Stream2.Prev_Hourly_Net_Totalizer,270.984.741.210.938,Good,2025-01-21 17:46:59.693,3194,2025-01-21 17:45:16.293
43,WJA:CITARIK.FCA.Stream1.Temperature,787.449.188.232.422,Good,2025-01-21 18:02:35.823,3424,2025-01-21 18:00:52.830
